COD_ETU;Note : TLBC3104;Résultat : TLBC3104;Session : TLBC3104;Année : TLBC3104;Note : TLBC3204;Résultat : TLBC3204;Session : TLBC3204;Année : TLBC3204;Note : TLBC3304;Résultat : TLBC3304;Session : TLBC3304;Année : TLBC3304;Note : TLBC3404;Résultat : TLBC3404;Session : TLBC3404;Année : TLBC3404;Note : TLBC3504;Résultat : TLBC3504;Session : TLBC3504;Année : TLBC3504;Note : TLBC3604;Résultat : TLBC3604;Session : TLBC3604;Année : TLBC3604;Note : TLBC3004;Résultat : TLBC3004;Session : TLBC3004;Année : TLBC3004;Note : TLBC4104;Résultat : TLBC4104;Session : TLBC4104;Année : TLBC4104;Note : TLBC4204;Résultat : TLBC4204;Session : TLBC4204;Année : TLBC4204;Note : TLBC4304;Résultat : TLBC4304;Session : TLBC4304;Année : TLBC4304;Note : TLBC4404;Résultat : TLBC4404;Session : TLBC4404;Année : TLBC4404;Note : TLBC4504;Résultat : TLBC4504;Session : TLBC4504;Année : TLBC4504;Note : TLBC4604;Résultat : TLBC4604;Session : TLBC4604;Année : TLBC4604;Note : TLBC4004;Résultat : TLBC4004;Session : TLBC4004;Année : TLBC4004
20001767;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2021;;;;;;;;;0;NRA;1;2021;;;;;;;;;;;;;;;1;2021
20001768;11 875;V;1;2021;11 875;V;1;2021;10;V;2;2021;12.5;V;1;2021;16;V;1;2021;16;V;1;2021;13 042;V;2;2021;16;V;1;2021;9.15;AC;2;2021;10.6;V;1;2021;12;V;1;2021;11.5;V;1;2021;11.75;V;1;2021;11 833;V;2;2021
20001770;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
20001862;10;V;2;2021;12.25;V;1;2021;10;V;2;2021;12.5;V;1;2021;;;;;;;;;;;1;2021;15;V;1;2021;8.35;AC;2;2021;12.5;V;1;2021;8.75;AC;2;2021;10;V;2;2021;12.85;V;1;2021;11 242;V;2;2021
20001865;;;;;;;;;7.6;NV;2;2021;2;NV;2;2021;;;;;;;;;;;1;2021;8;NV;2;2021;5 825;NV;2;2021;;;;;;;;;;;;;12;V;1;2021;;;1;2021
20001868;10;V;2;2021;10.2;V;1;2021;10.6;V;1;2021;10;V;2;2021;10;V;1;2021;16.5;V;1;2021;11 217;V;2;2021;11;V;1;2021;10;V;2;2021;15 375;V;1;2021;13;V;1;2021;13.25;V;1;2021;12;V;1;2021;12 438;V;2;2021
20001874;11 125;V;1;2021;8.25;AC;2;2021;13.5;V;1;2021;10.25;V;1;2021;10;V;1;2021;19.5;V;1;2021;12 104;V;2;2021;18;V;1;2021;12.8;V;1;2021;;;;;12;V;1;2021;13;V;1;2021;16;V;1;2021;;;1;2021
20002343;;;;;4.37;NV;2;2021;7;NV;2;2021;10.5;V;1;2021;;;;;;;;;;;1;2021;;;;;8 068;NV;2;2021;;;;;;;;;;;;;11;V;1;2021;;;1;2021
20003149;10;V;2;2021;8 125;NV;2;2021;11.3;V;1;2021;8.25;NV;2;2021;3;NV;2;2021;8;NV;2;2021;8 113;NV;2;2021;;;;;6.3;NV;2;2021;0;NRA;1;2021;10;V;2;2021;;;;;13.5;V;1;2021;;;1;2021
20003545;10;V;2;2021;10.25;V;1;2021;11;V;1;2021;9.75;AC;2;2021;7;AC;2;2021;17;V;1;2021;10 833;V;2;2021;17;V;1;2021;10;V;2;2021;9.5;AC;2;2021;10;V;1;2021;8;AC;2;2021;13;V;1;2021;11.25;V;2;2021
20003549;14.25;V;1;2021;12.75;V;1;2021;13.75;V;1;2021;14.5;V;1;2021;15;V;1;2021;18.5;V;1;2021;14 792;V;1;2021;17;V;1;2021;10.05;V;1;2021;13.25;V;1;2021;10;V;1;2021;14;V;1;2021;15.5;V;1;2021;13.3;V;1;2021
20003555;16.08;V;1;2021;12.25;V;1;2021;13.45;V;1;2021;19.5;V;1;2021;16;V;1;2021;15;V;1;2021;15.38;V;1;2021;18;V;1;2021;14.4;V;1;2021;16;V;1;2021;14;V;1;2021;13;V;1;2021;15;V;1;2021;15 067;V;1;2021
20003556;12.5;V;1;2021;11.33;V;1;2021;13.3;V;1;2021;10;V;2;2021;8;AC;2;2021;11;V;1;2021;11 022;V;2;2021;18;V;1;2021;12.45;V;1;2021;14;V;1;2021;10;V;1;2021;13;V;1;2021;18;V;1;2021;14 242;V;1;2021
20003563;14;V;1;2021;16 125;V;1;2021;12 625;V;1;2021;12.25;V;1;2021;10;V;2;2021;13.5;V;1;2021;13 083;V;2;2021;19;V;1;2021;10;V;2;2021;9.3;AC;2;2021;10;V;1;2021;10;V;1;2021;15.75;V;1;2021;12 342;V;2;2021
20003863;10;V;2;2021;8.5;AC;2;2021;8.75;AC;2;2021;18.5;V;1;2021;19;V;1;2021;19;V;1;2021;13 958;V;2;2021;18;V;1;2021;13.7;V;1;2021;18.5;V;1;2021;13;V;1;2021;20;V;1;2021;14;V;1;2021;16.2;V;1;2021
20003919;0;NRA;1;2021;;;;;1.5;NV;2;2021;0;NRA;1;2021;;;;;;;;;;;1;2021;11;V;1;2021;6.95;NV;2;2021;4.5;NV;2;2021;5;NV;2;2021;6;NV;2;2021;10;V;1;2021;7 242;NV;2;2021
20003927;;;;;10;V;2;2021;;;;;1.75;NV;2;2021;;;;;;;;;;;1;2021;;;;;8.76;NV;2;2021;;;;;;;;;10;V;1;2021;14.85;V;1;2021;;;1;2021
20003932;;;;;;;;;7;NV;2;2021;0;NRA;1;2021;;;;;8;NV;2;2021;;;1;2021;;;;;4.15;NV;2;2021;;;;;;;;;;;;;7.2;NV;2;2021;;;1;2021
20003980;10;V;2;2021;10;V;1;2021;11.4;V;1;2021;7;AC;2;2021;7;AC;2;2021;12.5;V;1;2021;9.65;AC;2;2021;15;V;1;2021;10;V;2;2021;14.75;V;1;2021;10.5;V;1;2021;14.25;V;1;2021;12;V;1;2021;12.75;V;2;2021
20004049;7.5;NV;2;2021;;;;;9.1;NV;2;2021;2;NV;2;2021;1;NV;2;2021;;;;;;;1;2021;10;V;1;2021;6.1;NV;2;2021;5;NV;2;2021;0;NRA;1;2021;3;NV;2;2021;12.85;V;1;2021;6 158;NV;2;2021
20004161;3.25;NV;2;2021;13 375;V;1;2021;10.45;V;1;2021;8.5;NV;2;2021;.25;NV;2;2021;8.5;NV;2;2021;7 388;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;5;NV;2;2021;.833;NV;2;2021
20004864;10.83;V;1;2021;13.25;V;1;2021;10;V;2;2021;17.5;V;1;2021;12;V;1;2021;12;V;1;2021;12 597;V;2;2021;18;V;1;2021;10 025;V;1;2021;13;V;1;2021;15;V;1;2021;13;V;1;2021;13.85;V;1;2021;13 813;V;1;2021
20005063;;;;;7.17;NV;2;2021;7.35;NV;2;2021;3.5;NV;2;2021;;;;;;;;;;;1;2021;;;;;5 324;NV;2;2021;7;NV;2;2021;;;;;;;;;11;V;1;2021;;;1;2021
20005774;10;V;2;2021;12.75;V;1;2021;11.75;V;1;2021;9.75;AC;2;2021;7;AC;2;2021;10;V;1;2021;10 208;V;2;2021;11;V;1;2021;10;V;2;2021;10;V;1;2021;10;V;2;2021;10;V;2;2021;16;V;1;2021;11 167;V;2;2021
20007018;10;V;2;2021;6;NV;2;2021;13.25;V;1;2021;3.25;NV;2;2021;4.5;NV;2;2021;7.5;NV;2;2021;7 417;NV;2;2021;17;V;1;2021;7 775;AC;2;2021;12;V;1;2021;7;AC;2;2021;19.5;V;1;2021;15;V;1;2021;13 046;V;2;2021
20007368;9.58;AC;2;2021;14.25;V;1;2021;13.05;V;1;2021;11;V;1;2021;12;V;1;2021;12.5;V;1;2021;12 063;V;2;2021;11;V;1;2021;10.55;V;1;2021;11;V;1;2021;10;V;2;2021;10;V;2;2021;14.85;V;1;2021;11 233;V;2;2021
20007581;10 915;V;1;2021;;;;;;;;;;;;;;;;;;;;;;;1;2021;;;;;10 125;V;1;2021;;;;;;;;;;;;;;;;;;;1;2021
20007700;11;V;1;2021;10;V;2;2021;13.55;V;1;2021;16.5;V;1;2021;18.5;V;1;2021;7;AC;2;2021;12 758;V;2;2021;18;V;1;2021;10;V;2;2021;16 125;V;1;2021;14;V;1;2021;15.25;V;1;2021;10;V;2;2021;13 896;V;2;2021
20007731;10;V;2;2021;10;V;2;2021;10;V;2;2021;2.75;NV;2;2021;4;NV;2;2021;10;V;1;2021;7 792;NV;2;2021;17;V;1;2021;7.46;NV;2;2021;6;NV;2;2021;7;NV;2;2021;11.5;V;1;2021;12.85;V;1;2021;10 302;NV;2;2021
20007744;;;;;;;;;;;;;0;NRA;1;2021;;;;;;;;;;;1;2021;;;;;;;;;;;;;;;;;;;;;12.85;V;1;2021;;;1;2021
20007766;10;V;2;2021;12.5;V;1;2021;7;AC;2;2021;11.75;V;1;2021;11;V;1;2021;8.5;AC;2;2021;10 125;V;2;2021;16;V;1;2021;8.9;AC;2;2021;13.75;V;1;2021;11.5;V;1;2021;12;V;1;2021;11.85;V;1;2021;12 333;V;2;2021
20007801;11.25;V;1;2021;7;NV;2;2021;11.4;V;1;2021;6;NV;2;2021;.25;NV;2;2021;10;V;2;2021;7.65;NV;2;2021;10;V;2;2021;8 675;NV;2;2021;6 625;NV;2;2021;0;NRA;1;2021;11;V;1;2021;12;V;1;2021;8.05;NV;2;2021
20007827;13 125;V;1;2021;10;V;2;2021;14.55;V;1;2021;16;V;1;2021;8;AC;2;2021;19;V;1;2021;13 446;V;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
20007845;11 875;V;1;2021;12 188;V;1;2021;12.5;V;1;2021;17.5;V;1;2021;14;V;1;2021;18;V;1;2021;14 344;V;1;2021;19;V;1;2021;14.5;V;1;2021;14.5;V;1;2021;10;V;1;2021;14;V;1;2021;16;V;1;2021;14 667;V;1;2021
20007869;;;;;;;;;;;;;0;NRA;1;2021;;;;;;;;;;;1;2021;;;;;0;NRA;1;2021;;;;;;;;;;;;;;;;;;;1;2021
20007877;10;V;2;2021;10;V;2;2021;14.2;V;1;2021;12;V;1;2021;10.5;V;1;2021;12;V;1;2021;11.45;V;2;2021;16;V;1;2021;11.8;V;1;2021;18.75;V;1;2021;13.5;V;1;2021;12.5;V;1;2021;14;V;1;2021;14 425;V;1;2021
20007893;12 125;V;1;2021;10 063;V;1;2021;12.1;V;1;2021;16.75;V;1;2021;11;V;1;2021;15;V;1;2021;12.84;V;1;2021;14;V;1;2021;10;V;2;2021;11.5;V;1;2021;10;V;2;2021;14;V;1;2021;12.85;V;1;2021;12 058;V;2;2021
20007915;10;V;2;2021;10;V;2;2021;10;V;2;2021;11;V;1;2021;7;AC;2;2021;7.5;AC;2;2021;9.25;AC;2;2021;15;V;1;2021;7.88;AC;2;2021;12;V;1;2021;10;V;2;2021;11;V;1;2021;13;V;1;2021;11.48;V;2;2021
20007938;7.5;NV;2;2021;10;V;2;2021;7.9;NV;2;2021;5;NV;2;2021;10;V;1;2021;10;V;2;2021;8.4;NV;2;2021;10;V;2;2021;10;V;2;2021;9;NV;2;2021;8.75;NV;2;2021;8.5;NV;2;2021;11.85;V;1;2021;9 683;NV;2;2021
