COD_ETU;Note : TLMP1104;Résultat : TLMP1104;Session : TLMP1104;Année : TLMP1104;Note : TLMP1204;Résultat : TLMP1204;Session : TLMP1204;Année : TLMP1204;Note : TLMP1304;Résultat : TLMP1304;Session : TLMP1304;Année : TLMP1304;Note : TLMP1404;Résultat : TLMP1404;Session : TLMP1404;Année : TLMP1404;Note : TLMP1504;Résultat : TLMP1504;Session : TLMP1504;Année : TLMP1504;Note : TLMP1604;Résultat : TLMP1604;Session : TLMP1604;Année : TLMP1604;Note : TLMP1004;Résultat : TLMP1004;Session : TLMP1004;Année : TLMP1004;Note : TLMP2104;Résultat : TLMP2104;Session : TLMP2104;Année : TLMP2104;Note : TLMP2204;Résultat : TLMP2204;Session : TLMP2204;Année : TLMP2204;Note : TLMP2304;Résultat : TLMP2304;Session : TLMP2304;Année : TLMP2304;Note : TLMP2404;Résultat : TLMP2404;Session : TLMP2404;Année : TLMP2404;Note : TLMP2504;Résultat : TLMP2504;Session : TLMP2504;Année : TLMP2504;Note : TLMP2604;Résultat : TLMP2604;Session : TLMP2604;Année : TLMP2604;Note : TLMP2004;Résultat : TLMP2004;Session : TLMP2004;Année : TLMP2004
15004253;3.1;NRA;1;2015;1.6;NRA;1;2015;1.2;NRA;1;2015;8.4;NV;2;2015;14;V;1;2015;10;V;2;2015;6 383;NV;2;2015;.9;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;.15;NV;2;2015
15004280;.8;NRA;1;2015;10.2;V;1;2015;0;NRA;1;2015;5.2;NV;2;2015;10.75;V;1;2015;15;V;1;2015;6 992;NV;2;2015;15.15;V;1;2015;5.3;NV;2;2015;2.5;NRA;1;2015;3;NRA;1;2015;14;V;1;2015;15.25;V;1;2015;9.2;NV;2;2015
15004323;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NV;2;2015
15004360;4.45;NRA;1;2015;4;NRA;1;2015;.8;NRA;1;2015;6.2;NV;2;2015;10;V;2;2015;12 875;V;1;2015;6 388;NV;2;2015;10.2;V;1;2015;5.4;NV;2;2015;2.25;NRA;1;2015;.5;NRA;1;2015;10;V;2;2015;12 875;V;1;2015;6 871;NV;2;2015
15004515;10.1;V;1;2015;8.4;AC;2;2015;7;AC;2;2015;16.3;V;1;2015;12.9;V;1;2015;10;V;1;2015;10 783;V;2;2015;15.35;V;1;2015;17;V;1;2015;10.5;V;1;2015;19.6;V;1;2015;14 275;V;1;2015;10;V;2;2015;14 454;V;2;2015
15004517;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NV;2;2015
15004707;2.7;NRA;1;2015;2.4;NRA;1;2015;1.6;NRA;1;2015;7.4;NV;2;2015;10;V;1;2015;15.5;V;1;2015;6.6;NV;2;2015;10.35;V;1;2015;7.2;NV;2;2015;0;NRA;1;2015;10;V;2;2015;9;NV;2;2015;16.75;V;1;2015;8 883;NV;2;2015
15004779;2.85;NRA;1;2015;.8;NRA;1;2015;0;NRA;1;2015;1.8;NRA;1;2015;7;NV;2;2015;8.25;NV;2;2015;3.45;NV;2;2015;0;NRA;1;2015;.4;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;.067;NV;2;2015
15005040;.25;NRA;1;2015;3.2;NRA;1;2015;3.9;NRA;1;2015;11.2;V;1;2015;8;NV;2;2015;9.5;NV;2;2015;6 008;NV;2;2015;1.5;NRA;1;2015;.8;NRA;1;2015;.75;NRA;1;2015;2.7;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;.958;NV;2;2015
15005231;4.95;NRA;1;2015;4.4;NRA;1;2015;2.4;NRA;1;2015;7;NV;2;2015;12.5;V;1;2015;11.5;V;1;2015;7 125;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NV;2;2015
