COD_ETU;Note : TLGE3104;Résultat : TLGE3104;Session : TLGE3104;Année : TLGE3104;Note : TLGE3204;Résultat : TLGE3204;Session : TLGE3204;Année : TLGE3204;Note : TLGE3304;Résultat : TLGE3304;Session : TLGE3304;Année : TLGE3304;Note : TLGE3404;Résultat : TLGE3404;Session : TLGE3404;Année : TLGE3404;Note : TLGE3504;Résultat : TLGE3504;Session : TLGE3504;Année : TLGE3504;Note : TLGE3604;Résultat : TLGE3604;Session : TLGE3604;Année : TLGE3604;Note : TLGE3004;Résultat : TLGE3004;Session : TLGE3004;Année : TLGE3004;Note : TLGE4104;Résultat : TLGE4104;Session : TLGE4104;Année : TLGE4104;Note : TLGE4204;Résultat : TLGE4204;Session : TLGE4204;Année : TLGE4204;Note : TLGE4304;Résultat : TLGE4304;Session : TLGE4304;Année : TLGE4304;Note : TLGE4404;Résultat : TLGE4404;Session : TLGE4404;Année : TLGE4404;Note : TLGE4504;Résultat : TLGE4504;Session : TLGE4504;Année : TLGE4504;Note : TLGE4604;Résultat : TLGE4604;Session : TLGE4604;Année : TLGE4604;Note : TLGE4004;Résultat : TLGE4004;Session : TLGE4004;Année : TLGE4004
18002333;10.3;V;1;2019;0;NRA;1;2021;17;V;1;2020;10;V;2;2019;12 375;V;1;2019;16.5;V;1;2019;11 029;NV;2;2021;15 325;V;1;2019;10;V;2;2020;10.5;V;1;2019;11;V;1;2019;10;V;1;2019;8;AC;2;2021;10 804;V;2;2021
18002571;0;NRA;1;2021;0;NRA;1;2021;.25;NV;2;2021;4;NV;2;2021;10;V;2;2020;10;V;1;2019;4 042;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2020;0;NRA;1;2021;14;V;1;2019;0;NRA;1;2021;4;NV;2;2021
18002573;7;AC;2;2021;10;V;2;2021;10;V;2;2020;10.2;V;1;2019;10;V;2;2020;15;V;1;2019;10 367;V;2;2021;7;AC;2;2021;10;V;2;2020;14;V;1;2020;16.75;V;1;2020;13;V;1;2019;7;AC;2;2021;11 292;V;2;2021
18002591;10;V;2;2020;8;AC;2;2021;10;V;2;2020;11.4;V;1;2020;10.25;V;1;2019;15.5;V;1;2019;10 858;V;2;2021;7;AC;2;2020;7;AC;2;2020;13;V;1;2019;17.5;V;1;2020;11;V;1;2019;7;AC;2;2020;10 417;V;2;2020
18002636;0;NRA;1;2021;0;NRA;1;2021;.25;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;.042;NV;2;2021;;;;;;;;;;;;;;;;;0;NRA;1;2021;;;;;;;1;2021
18002639;;;;;;;;;0;NRA;1;2021;0;NRA;1;2021;;;;;0;NRA;1;2021;;;1;2021;;;;;;;;;0;NRA;1;2021;;;;;0;NRA;1;2021;;;;;;;1;2021
18002645;4.25;NV;2;2021;8;NV;2;2021;8;NV;2;2021;8;NV;2;2021;10;V;2;2021;10;V;1;2020;8 042;NV;2;2021;4 188;NV;2;2021;9.25;NV;2;2021;11;V;1;2020;10;V;1;2020;3;NV;2;2021;3;NV;2;2021;6.74;NV;2;2021
18002705;15;V;1;2021;10;V;2;2021;11;V;1;2021;10;V;2;2021;8;AC;2;2021;9;AC;2;2021;10.5;V;2;2021;2 813;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;.469;NV;2;2021
18003096;0;NRA;1;2021;;;;;;;;;0;NRA;1;2021;;;;;0;NRA;1;2021;;;1;2021;;;;;;;;;;;;;;;;;0;NRA;1;2021;;;;;;;1;2021
18003129;;;;;8.01;NV;2;2021;11;V;1;2020;10;V;2;2021;9;NV;2;2021;10;V;1;2021;;;1;2021;2.75;NV;2;2021;1.25;NV;2;2021;2;NV;2;2021;17.5;V;1;2020;0;NRA;1;2021;1;NV;2;2021;4 083;NV;2;2021
18003171;7;NV;2;2021;10;V;2;2021;5;NV;2;2021;7.5;NV;2;2021;10;V;2;2021;10;V;1;2020;8.25;NV;2;2021;8 125;NV;2;2021;10;V;2;2020;13;V;1;2021;14.5;V;1;2020;10;V;1;2021;4.5;NV;2;2021;10 021;NV;2;2021
18003241;10;V;2;2021;10;V;2;2021;11;V;1;2021;13.3;V;1;2020;12.5;V;1;2021;10;V;1;2020;11 133;V;2;2021;11 625;V;1;2021;15.5;V;1;2021;14;V;1;2020;17.5;V;1;2020;10;V;2;2019;8.5;AC;2;2021;12 854;V;2;2021
18003322;;;;;2.1;NV;2;2021;3;NV;2;2021;10.25;V;1;2020;0;NRA;1;2021;10;V;1;2020;;;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2019;0;NRA;1;2021;1 667;NV;2;2021
18003527;;;;;;;;;;;;;;;;;;;;;0;NRA;1;2021;;;1;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2021
18003790;;;;;;;;;;;;;3;NV;2;2021;4.5;NV;2;2021;10;V;1;2021;;;1;2021;0;NRA;1;2021;3.25;NV;2;2021;12;V;1;2020;16;V;1;2020;3.5;NV;2;2021;0;NRA;1;2021;5 792;NV;2;2021
18003814;;;;;;;;;;;;;7.5;NV;2;2021;4;NV;2;2021;10.5;V;1;2021;;;1;2021;0;NRA;1;2021;3.75;NV;2;2021;11;V;1;2020;1.5;NV;2;2021;7.5;NV;2;2021;0;NRA;1;2021;3 958;NV;2;2021
18003828;;;;;;;;;;;;;;;;;;;;;11.5;V;1;2021;;;1;2021;14.1;V;1;2019;3.75;NV;2;2021;11;V;1;2019;0;NRA;1;2021;11;V;1;2019;.25;NV;2;2021;6 683;NV;2;2021
18003870;0;NRA;1;2021;;;;;;;;;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;;;1;2021;;;;;;;;;;;;;;;;;0;NRA;1;2021;;;;;;;1;2021
18003873;10;V;2;2019;7.7;AC;2;2019;10.05;V;1;2019;10;V;2;2019;12 375;V;1;2019;13;V;1;2019;10 521;V;2;2019;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
18004225;14;V;1;2020;7;AC;2;2020;11.5;V;1;2020;14.6;V;1;2020;10;V;1;2020;13;V;1;2019;11 683;V;2;2020;10;V;2;2020;8.25;AC;2;2021;14.5;V;1;2019;10;V;1;2020;12;V;1;2019;8;AC;2;2021;10 458;V;2;2021
18004308;;;;;;;;;0;NRA;1;2021;12;V;1;2020;0;NRA;1;2021;15.5;V;1;2019;;;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2019;0;NRA;1;2021;1 667;NV;2;2021
18004369;;;;;;;;;;;;;0;NRA;1;2021;;;;;0;NRA;1;2021;;;1;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2021
18004399;.25;NV;2;2021;1.4;NV;2;2021;4;NV;2;2021;11.4;V;1;2020;10;V;2;2020;13.5;V;1;2019;6 758;NV;2;2021;5;NV;2;2021;3.5;NV;2;2021;10;V;1;2020;13;V;1;2020;10;V;1;2019;.25;NV;2;2021;6 958;NV;2;2021
18004501;0;NRA;1;2021;;;;;;;;;8;NV;2;2021;.625;NV;2;2021;7;NV;2;2021;;;1;2021;;;;;;;;;;;;;3.5;NV;2;2021;;;;;4;NV;2;2021;;;1;2021
18004529;10;V;1;2020;8.4;AC;2;2021;7;AC;2;2021;13.4;V;1;2020;10;V;2;2020;15.5;V;1;2019;10 717;V;2;2021;10;V;1;2019;10;V;2;2020;11;V;1;2019;17;V;1;2020;17;V;1;2019;7;AC;2;2020;12;V;2;2020
18004540;10;V;2;2021;10;V;2;2021;13.5;V;1;2021;10;V;2;2021;7;AC;2;2021;10;V;2;2021;10 083;V;2;2021;7.5;AC;2;2021;10;V;2;2021;10;V;1;2021;17.5;V;1;2021;12.5;V;1;2021;10;V;2;2021;11.25;V;2;2021
18004651;10;V;2;2021;10;V;2;2021;10;V;1;2019;13.6;V;1;2020;10.1;V;1;2020;13.5;V;1;2019;11.2;V;2;2021;10;V;2;2021;8;AC;2;2021;10;V;1;2019;17;V;1;2020;10;V;2;2019;8;AC;2;2021;10.5;V;2;2021
18004724;1;NV;2;2021;0;NRA;1;2021;10;V;1;2021;11.75;V;1;2020;10;V;2;2020;16;V;1;2019;8 125;NV;2;2021;.75;NV;2;2021;10;V;2;2020;11;V;1;2020;10;V;2;2021;10;V;2;2021;.25;NV;2;2021;7;NV;2;2021
